		SYMBOL TABLE
		------ -----

ID	TOKEN		LEXEME	XPOS	YPOS
--	-----		------	----	----
1	KEYWORD		int		4		1
2	IDENTIFIER	main	9		1
6	DELIMITER	(		9		1
6	DELIMITER	)		10		1
6	DELIMITER	{		12		1
1	KEYWORD		if		4		2
6	DELIMITER	(		4		2
2	IDENTIFIER	a		6		2
4	RELATIONAL	>		7		2
2	IDENTIFIER	ifa		12		2
6	DELIMITER	)		12		2
1	KEYWORD		int		6		3
2	IDENTIFIER	j		8		3
5	ASSIGN		=		9		3
7	NUM			3		12		3
6	DELIMITER	;		12		3
1	KEYWORD		else	6		4
1	KEYWORD		if		9		4
6	DELIMITER	(		9		4
2	IDENTIFIER	b		11		4
4	RELATIONAL	>		12		4
7	NUM			100		17		4
6	DELIMITER	)		17		4
1	KEYWORD		float	8		5
2	IDENTIFIER	b		10		5
5	ASSIGN		=		11		5
7	NUM			10		15		5
3	ARITHMETIC	+		16		5
2	IDENTIFIER	j		19		5
6	DELIMITER	;		19		5
1	KEYWORD		return	8		6
6	DELIMITER	(		9		6
7	NUM			10.3	14		6
3	ARITHMETIC	-		15		6
2	IDENTIFIER	b		18		6
6	DELIMITER	)		18		6
6	DELIMITER	;		19		6
